z,n,radius,abundance,half_life_sec,decay_1,decay_1_%,decay_2,decay_2_%,decay_3,decay_3_%,decay_energy,gamma_energy,atomic_mass,massexcess,source
0,1,-0.1149, ,613.9,B-,100, , , , ,,,1008664.9159,8071.31806,https://www-nds.iaea.org/relnsd/vcharthtml/VChartHTML.html
0,4, , ,1.75476044258225E-22, , , , , , ,,, ,,
0,6, , , , , , , , , ,,, ,,
1,0,0.8783,99.9855, , , , , , , ,,,1007825.031898,7288.971064,
1,1,2.1421,0.0145, , , , , , , ,,,2014101.777844,13135.722895,
1,2,1.7591, ,388781328.006973,B-,100, , , , ,0.018,,3016049.28132,14949.8109,
1,3, , , ,N,100, , , , ,,,4026431867,24621129,
1,4, , ,8.60825877493181E-23,2N,100, , , , ,,,5035311492,32892447,
1,5, , ,2.94346912949281E-22, , , , , , ,,,6044955437,41875725,
1,6, , ,5.06930794523762E-21, , , , , , ,,,7052749,49135,
2,1,1.9661,0.0002, , , , , , , ,,,3016029.32197,14931.21888,
2,2,1.6755,99.9998, , , , , , , ,,,4002603.25413,2424.91587,
2,3, , ,7.04070547949669E-22,N, , , , , ,,,5012057224,11231234,
2,4,2.066, ,0.8067,B-,100, , , , ,,,6018885889,17592095,
2,5, , ,3.04158476714257E-21,N, , , , , ,,,7027990652,26073128,
2,6,1.9239, ,0.1191,B-,100,B-N,16, , ,,,8033934388,31609683,
2,7, , , ,N,100, , , , ,,,9043946414,40935826,
2,8, , ,1.52079238357129E-21,N,100, , , , ,,,10052815306,49197147,
3,1, , , ,P,100, , , , ,,,4027185561,25323190,
3,2, , ,3.70924971602753E-22,P, , , , , ,,,5012537.8,11678887,
3,3,2.589,4.85, , , , , , , ,,,6015122.88742,14086.88044,
3,4,2.444,95.15, , , , , , , ,,,7016003.43426,14907.10463,
3,5,2.339, ,0.8399,B-,100,B-A,100, , ,,,8022486244,20945805,
3,6,2.245, ,0.1783,B-,100,B-N,50.8, , ,,,9026790191,24954905,
3,7, , , ,N,100, , , , ,,,10035483453,33052628,
3,8,2.482, ,0.00875,B-,100,B-N, , , ,,,11043723581,40728259,
3,9, , , ,N,100, , , , ,,,12052613942,49009577,
4,2, , ,4.95910559860202E-21,A,100,2P,100, , ,,,6019726409,18375034,
4,3,2.646, ,4598208,EC,100, , , , ,,,7016928714,15768998,
4,4, , ,8.19098231726007E-17,A,100, , , , ,,,8005305102,4941672,
4,5,2.519,100, , , , , , , ,,,9012183062,11348451,
4,6,2.355, ,47650958221633.9,B-,100, , , , ,,,10013534692,12607487,
4,7,2.463, ,13.76,B-,100,B-A,3.1,B-P,0.00083,,,11021661.08,20177169,
4,8, , ,0.02146,B-,100,B-N,0.5, , ,,,12026922082,25077761,
4,9, , ,2.7E-21,N, , , , , ,,,13036134506,33659080,
4,10, , ,0.00435,B-,100,B-N,81,B-2N,5,,,14042892.92,39954502,
4,11, , ,7.86616750123079E-22,N,100, , , , ,,,15053490215,49825821,
4,12, , ,5.70297143839232E-22,N,100, , , , ,,,16061672036,57447139,
5,2, , ,5.69585162386249E-22,P,100, , , , ,,,7029712,27676553,
5,3, , ,0.77,EC+B+,100,B+A,100, , ,,,8024607315,22921569,
5,4, , ,8.44884657539603E-19,P,100, , , , ,,,9013329645,12416486,
5,5,2.4277,19.65, , , , , , , ,,,10012936862,12050611,
5,6,2.406,80.35, , , , , , , ,,,11009305166,8667708,
5,7, , ,0.0202,B-,100,B-A,0.6, , ,,,12014352638,13369398,
5,8, , ,0.01733,B-,100,B-N,286, , ,,,13017779981,16561948,
5,9, , ,0.0125,B-,100,B-N,6.1, , ,,,14025404.01,23663686,
5,10, , ,0.00993,B-,100,B-N,99.68, , ,,,15031087023,28957379,
5,11, , ,4.56237715071386E-21,N,100, , , , ,,,16039841045,37111699,
5,12, , ,0.00508,B-,100,B-N,63,B-2N,11,,,17046931399,43716322,
5,13, , , ,N,100, , , , ,,,18055601683,51792640,
5,14, , ,0.00292,B-,100,B-N,71.8,B-2N,16,,,19064166,59770251,
5,15, , ,9.12475430142772E-22,N,100, , , , ,,,20074505644,69401569,
5,16, , ,7.60396191785643E-22,2N,100, , , , ,,,21084147485,78382887,
6,2, , ,3.50952088516451E-21,2P,100, , , , ,,,8037643039,35064269,
