energy,yp,yenp,source
1.00E-03,2.34E+02,2.34E+02,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z03.html
1.50E-03,6.67E+01,6.63E+01,
2.00E-03,2.71E+01,2.67E+01,
3.00E-03,7.55E+00,7.25E+00,
4.00E-03,3.11E+00,2.84E+00,
5.00E-03,1.62E+00,1.36E+00,
6.00E-03,9.88E-01,7.48E-01,
8.00E-03,5.05E-01,2.89E-01,
1.00E-02,3.40E-01,1.39E-01,
1.50E-02,2.18E-01,3.91E-02,
2.00E-02,1.86E-01,1.89E-02,
3.00E-02,1.64E-01,1.14E-02,
4.00E-02,1.55E-01,1.13E-02,
5.00E-02,1.49E-01,1.24E-02,
6.00E-02,1.44E-01,1.36E-02,
8.00E-02,1.36E-01,1.59E-02,
1.00E-01,1.29E-01,1.78E-02,
1.50E-01,1.16E-01,2.10E-02,
2.00E-01,1.06E-01,2.29E-02,
3.00E-01,9.21E-02,2.48E-02,
4.00E-01,8.25E-02,2.55E-02,
5.00E-01,7.53E-02,2.57E-02,
6.00E-01,6.97E-02,2.56E-02,
8.00E-01,6.12E-02,2.50E-02,
1.00E+00,5.50E-02,2.42E-02,
1.25E+00,4.92E-02,2.31E-02,
1.50E+00,4.48E-02,2.21E-02,
2.00E+00,3.83E-02,2.03E-02,
3.00E+00,3.04E-02,1.75E-02,
4.00E+00,2.57E-02,1.56E-02,
5.00E+00,2.26E-02,1.42E-02,
6.00E+00,2.03E-02,1.32E-02,
8.00E+00,1.73E-02,1.17E-02,
1.00E+01,1.53E-02,1.07E-02,
1.50E+01,1.25E-02,9.18E-03,
2.00E+01,1.11E-02,8.39E-03,
