energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
0.001,23.3,
0.0015,28,
0.002,31.9,
0.0025,35.3,
0.003,38.3,
0.004,43.7,
0.005,48.3,
0.006,52.4,
0.007,56.2,
0.008,59.8,
0.009,63.1,
0.01,66.2,
0.0125,73.3,
0.015,79.8,
0.0175,85.8,
0.02,91.3,
0.0225,96.5,
0.025,102,
0.0275,106,
0.03,111,
0.035,119,
0.04,127,
0.045,135,
0.05,142,
0.055,148,
0.06,155,
0.065,161,
0.07,167,
0.075,173,
0.08,178,
0.085,183,
0.09,189,
0.095,194,
0.1,198,
0.125,221,
0.15,241,
0.175,259,
0.2,275,
0.225,289,
0.25,303,
0.275,315,
0.3,326,
0.35,344,
0.4,360,
0.45,372,
0.5,382,
0.55,390,
0.6,395,
0.65,400,
0.7,402,
0.75,404,
0.8,405,
0.85,405,
0.9,404,
0.95,403,
1,402,
1.25,393,
1.5,381,
1.75,366,
2,349,
2.25,332,
2.5,318,
2.75,305,
3,294,
3.5,275,
4,259,
4.5,245,
5,233,
5.5,223,
6,213,
6.5,205,
7,198,
7.5,191,
8,185,
8.5,179,
9,174,
9.5,169,
10,164,
12.5,145,
15,131,
17.5,120,
20,110,
25,96.2,
27.5,90.7,
30,85.8,
35,77.8,
40,71.3,
45,66,
50,61.5,
55,57.7,
60,54.4,
65,51.5,
70,48.9,
75,46.7,
80,44.6,
85,42.8,
90,41.1,
95,39.6,
100,38.2,
125,32.6,
150,28.5,
175,25.5,
200,23.2,
225,21.3,
250,19.7,
275,18.4,
300,17.3,
350,15.5,
400,14.2,
450,13.1,
500,12.2,
550,11.4,
600,10.8,
650,10.3,
700,9.81,
750,9.41,
800,9.05,
850,8.73,
900,8.44,
950,8.19,
1000,7.96,
