energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
0.001,222,
0.0015,234,
0.002,244,
0.0025,254,
0.003,262,
0.004,278,
0.005,294,
0.006,308,
0.007,323,
0.008,336,
0.009,350,
0.01,363,
0.0125,393,
0.015,423,
0.0175,450,
0.02,477,
0.0225,502,
0.025,526,
0.0275,549,
0.03,572,
0.035,615,
0.04,656,
0.045,694,
0.05,731,
0.055,766,
0.06,800,
0.065,832,
0.07,864,
0.075,894,
0.08,923,
0.085,951,
0.09,979,
0.095,1010,
0.1,1030,
0.125,1150,
0.15,1260,
0.175,1350,
0.2,1440,
0.225,1510,
0.25,1580,
0.275,1640,
0.3,1700,
0.35,1790,
0.4,1870,
0.45,1920,
0.5,1960,
0.55,1990,
0.6,2010,
0.65,2020,
0.7,2020,
0.75,2020,
0.8,2010,
0.85,1990,
0.9,1970,
0.95,1950,
1,1920,
1.25,1780,
1.5,1630,
1.75,1500,
2,1380,
2.25,1290,
2.5,1210,
2.75,1130,
3,1070,
3.5,969,
4,887,
4.5,819,
5,761,
5.5,712,
6,670,
6.5,633,
7,601,
7.5,572,
8,546,
8.5,522,
9,501,
9.5,482,
10,464,
12.5,393,
15,343,
17.5,305,
20,275,
25,231,
27.5,214,
30,200,
35,177,
40,159,
45,145,
50,133,
55,123,
60,115,
65,108,
70,102,
75,96.1,
80,91.2,
85,86.9,
90,83,
95,79.4,
100,76.2,
125,63.6,
150,55,
175,48.6,
200,43.7,
225,39.8,
250,36.7,
275,34.1,
300,31.9,
350,28.3,
400,25.6,
450,23.5,
500,21.8,
550,20.4,
600,19.2,
650,18.2,
700,17.3,
750,16.5,
800,15.8,
850,15.2,
900,14.7,
950,14.2,
1000,13.8,
