energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.65E+01,
1.25E-02,1.40E+01,
1.50E-02,1.22E+01,
1.75E-02,1.09E+01,
2.00E-02,9.85E+00,
2.50E-02,8.35E+00,
3.00E-02,7.29E+00,
3.50E-02,6.52E+00,
4.00E-02,5.92E+00,
4.50E-02,5.44E+00,
5.00E-02,5.05E+00,
5.50E-02,4.72E+00,
6.00E-02,4.45E+00,
7.00E-02,4.01E+00,
8.00E-02,3.67E+00,
9.00E-02,3.40E+00,
1.00E-01,3.19E+00,
1.25E-01,2.79E+00,
1.50E-01,2.52E+00,
1.75E-01,2.33E+00,
2.00E-01,2.18E+00,
2.50E-01,1.98E+00,
3.00E-01,1.85E+00,
3.50E-01,1.76E+00,
4.00E-01,1.69E+00,
4.50E-01,1.64E+00,
5.00E-01,1.60E+00,
5.50E-01,1.58E+00,
6.00E-01,1.55E+00,
7.00E-01,1.52E+00,
8.00E-01,1.50E+00,
9.00E-01,1.49E+00,
1.00E+00,1.49E+00,
1.25E+00,1.48E+00,
1.50E+00,1.49E+00,
1.75E+00,1.50E+00,
2.00E+00,1.52E+00,
2.50E+00,1.55E+00,
3.00E+00,1.58E+00,
3.50E+00,1.61E+00,
4.00E+00,1.64E+00,
4.50E+00,1.66E+00,
5.00E+00,1.69E+00,
5.50E+00,1.72E+00,
6.00E+00,1.74E+00,
7.00E+00,1.79E+00,
8.00E+00,1.83E+00,
9.00E+00,1.88E+00,
1.00E+01,1.92E+00,
1.25E+01,2.03E+00,
1.50E+01,2.13E+00,
1.75E+01,2.24E+00,
2.00E+01,2.34E+00,
2.50E+01,2.54E+00,
3.00E+01,2.75E+00,
3.50E+01,2.95E+00,
4.00E+01,3.15E+00,
4.50E+01,3.35E+00,
5.00E+01,3.55E+00,
5.50E+01,3.75E+00,
6.00E+01,3.95E+00,
7.00E+01,4.35E+00,
8.00E+01,4.76E+00,
9.00E+01,5.16E+00,
1.00E+02,5.56E+00,
1.25E+02,6.57E+00,
1.50E+02,7.58E+00,
1.75E+02,8.60E+00,
2.00E+02,9.61E+00,
2.50E+02,1.17E+01,
3.00E+02,1.37E+01,
3.50E+02,1.57E+01,
4.00E+02,1.78E+01,
4.50E+02,1.98E+01,
5.00E+02,2.19E+01,
5.50E+02,2.39E+01,
6.00E+02,2.60E+01,
7.00E+02,3.01E+01,
8.00E+02,3.42E+01,
9.00E+02,3.83E+01,
1.00E+03,4.24E+01,
