energy,stop+AF8-power,source: https://physics.nist.gov/PhysRefData/Star/Text/ESTAR.html
0.01,8.45,
0.0125,7.38,
0.015,6.59,
0.0175,5.97,
0.02,5.48,
0.025,4.74,
0.03,4.21,
0.035,3.81,
0.04,3.5,
0.045,3.24,
0.05,3.03,
0.055,2.86,
0.06,2.71,
0.07,2.47,
0.08,2.28,
0.09,2.13,
0.1,2.01,
0.125,1.79,
0.15,1.63,
0.175,1.52,
0.2,1.44,
0.25,1.33,
0.3,1.26,
0.35,1.21,
0.4,1.18,
0.45,1.15,
0.5,1.14,
0.55,1.12,
0.6,1.12,
0.7,1.11,
0.8,1.11,
0.9,1.12,
1,1.12,
1.25,1.15,
1.5,1.18,
1.75,1.22,
2,1.26,
2.5,1.33,
3,1.41,
3.5,1.48,
4,1.55,
4.5,1.63,
5,1.7,
5.5,1.77,
6,1.84,
7,1.98,
8,2.13,
9,2.27,
10,2.41,
12.5,2.76,
15,3.12,
17.5,3.47,
20,3.83,
25,4.55,
30,5.28,
35,6.01,
40,6.75,
45,7.49,
50,8.23,
55,8.98,
60,9.73,
70,11.2,
80,12.7,
90,14.3,
100,15.8,
125,19.6,
150,23.4,
175,27.3,
200,31.1,
250,38.9,
300,46.6,
350,54.4,
400,62.1,
450,69.9,
500,77.6,
550,85.4,
600,93.2,
700,109,
800,124,
900,140,
1000,156,
