energy,stop+AF8-power,source: https://physics.nist.gov/PhysRefData/Star/Text/ESTAR.html
0.01,19.8,
0.0125,16.6,
0.015,14.5,
0.0175,12.8,
0.02,11.6,
0.025,9.76,
0.03,8.5,
0.035,7.57,
0.04,6.85,
0.045,6.28,
0.05,5.82,
0.055,5.44,
0.06,5.11,
0.07,4.6,
0.08,4.2,
0.09,3.89,
0.1,3.64,
0.125,3.18,
0.15,2.87,
0.175,2.64,
0.2,2.47,
0.25,2.24,
0.3,2.09,
0.35,1.98,
0.4,1.91,
0.45,1.85,
0.5,1.81,
0.55,1.78,
0.6,1.75,
0.7,1.72,
0.8,1.69,
0.9,1.68,
1,1.67,
1.25,1.67,
1.5,1.68,
1.75,1.69,
2,1.71,
2.5,1.75,
3,1.78,
3.5,1.82,
4,1.85,
4.5,1.88,
5,1.91,
5.5,1.94,
6,1.97,
7,2.02,
8,2.07,
9,2.12,
10,2.16,
12.5,2.26,
15,2.36,
17.5,2.45,
20,2.54,
25,2.71,
30,2.87,
35,3.02,
40,3.17,
45,3.31,
50,3.45,
55,3.59,
60,3.73,
70,4.01,
80,4.28,
90,4.55,
100,4.82,
125,5.5,
150,6.17,
175,6.85,
200,7.52,
250,8.87,
300,10.2,
350,11.6,
400,12.9,
450,14.3,
500,15.6,
550,17,
600,18.3,
700,21,
800,23.7,
900,26.4,
1000,29.1,
