energy,stop+AF8-power,source: https://physics.nist.gov/PhysRefData/Star/Text/ESTAR.html
0.01,22.6,
0.0125,19,
0.015,16.5,
0.0175,14.6,
0.02,13.2,
0.025,11.1,
0.03,9.66,
0.035,8.6,
0.04,7.78,
0.045,7.13,
0.05,6.61,
0.055,6.17,
0.06,5.8,
0.07,5.21,
0.08,4.76,
0.09,4.41,
0.1,4.12,
0.125,3.6,
0.15,3.24,
0.175,2.99,
0.2,2.8,
0.25,2.53,
0.3,2.36,
0.35,2.24,
0.4,2.15,
0.45,2.09,
0.5,2.04,
0.55,2,
0.6,1.97,
0.7,1.93,
0.8,1.9,
0.9,1.88,
1,1.86,
1.25,1.85,
1.5,1.84,
1.75,1.84,
2,1.85,
2.5,1.87,
3,1.89,
3.5,1.91,
4,1.93,
4.5,1.95,
5,1.97,
5.5,1.99,
6,2.01,
7,2.05,
8,2.08,
9,2.12,
10,2.15,
12.5,2.23,
15,2.31,
17.5,2.38,
20,2.45,
25,2.6,
30,2.74,
35,2.88,
40,3.01,
45,3.15,
50,3.29,
55,3.42,
60,3.56,
70,3.83,
80,4.1,
90,4.37,
100,4.64,
125,5.31,
150,5.99,
175,6.66,
200,7.34,
250,8.7,
300,10.1,
350,11.4,
400,12.8,
450,14.1,
500,15.5,
550,16.9,
600,18.2,
700,21,
800,23.7,
900,26.5,
1000,29.2,
