energy,yp,yenp,source
1.00E-03,6.54E+02,6.52E+02,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z11.html
1.04E-03,5.96E+02,5.94E+02,
1.07E-03,5.43E+02,5.41E+02,
1.07E-03,6.44E+03,6.32E+03,
1.50E-03,3.19E+03,3.15E+03,
2.00E-03,1.52E+03,1.50E+03,
3.00E-03,5.07E+02,5.02E+02,
4.00E-03,2.26E+02,2.24E+02,
5.00E-03,1.19E+02,1.18E+02,
6.00E-03,7.03E+01,6.92E+01,
8.00E-03,3.02E+01,2.94E+01,
1.00E-02,1.56E+01,1.50E+01,
1.50E-02,4.69E+00,4.31E+00,
2.00E-02,2.06E+00,1.76E+00,
3.00E-02,7.20E-01,4.93E-01,
4.00E-02,3.97E-01,2.03E-01,
5.00E-02,2.80E-01,1.06E-01,
6.00E-02,2.27E-01,6.63E-02,
8.00E-02,1.80E-01,3.76E-02,
1.00E-01,1.59E-01,2.93E-02,
1.50E-01,1.34E-01,2.58E-02,
2.00E-01,1.20E-01,2.64E-02,
3.00E-01,1.03E-01,2.77E-02,
4.00E-01,9.19E-02,2.83E-02,
5.00E-01,8.37E-02,2.85E-02,
6.00E-01,7.74E-02,2.83E-02,
8.00E-01,6.79E-02,2.76E-02,
1.00E+00,6.10E-02,2.67E-02,
1.25E+00,5.45E-02,2.55E-02,
1.50E+00,4.97E-02,2.44E-02,
2.00E+00,4.28E-02,2.25E-02,
3.00E+00,3.49E-02,2.00E-02,
4.00E+00,3.04E-02,1.84E-02,
5.00E+00,2.75E-02,1.74E-02,
6.00E+00,2.56E-02,1.68E-02,
8.00E+00,2.32E-02,1.60E-02,
1.00E+01,2.18E-02,1.55E-02,
1.50E+01,2.02E-02,1.51E-02,
2.00E+01,1.97E-02,1.50E-02,
