energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,1.70E+02,
1.50E-03,1.80E+02,
2.00E-03,1.88E+02,
2.50E-03,1.95E+02,
3.00E-03,2.01E+02,
4.00E-03,2.12E+02,
5.00E-03,2.22E+02,
6.00E-03,2.31E+02,
7.00E-03,2.40E+02,
8.00E-03,2.48E+02,
9.00E-03,2.56E+02,
1.00E-02,2.64E+02,
1.25E-02,2.82E+02,
1.50E-02,3.00E+02,
1.75E-02,3.16E+02,
2.00E-02,3.32E+02,
2.25E-02,3.46E+02,
2.50E-02,3.61E+02,
2.75E-02,3.74E+02,
3.00E-02,3.87E+02,
3.50E-02,4.13E+02,
4.00E-02,4.36E+02,
4.50E-02,4.58E+02,
5.00E-02,4.79E+02,
5.50E-02,5.00E+02,
6.00E-02,5.19E+02,
6.50E-02,5.38E+02,
7.00E-02,5.55E+02,
7.50E-02,5.73E+02,
8.00E-02,5.89E+02,
8.50E-02,6.05E+02,
9.00E-02,6.21E+02,
9.50E-02,6.36E+02,
1.00E-01,6.51E+02,
1.25E-01,7.19E+02,
1.50E-01,7.80E+02,
1.75E-01,8.34E+02,
2.00E-01,8.83E+02,
2.25E-01,9.28E+02,
2.50E-01,9.69E+02,
2.75E-01,1.01E+03,
3.00E-01,1.04E+03,
3.50E-01,1.10E+03,
4.00E-01,1.15E+03,
4.50E-01,1.20E+03,
5.00E-01,1.23E+03,
5.50E-01,1.26E+03,
6.00E-01,1.29E+03,
6.50E-01,1.31E+03,
7.00E-01,1.32E+03,
7.50E-01,1.33E+03,
8.00E-01,1.34E+03,
8.50E-01,1.35E+03,
9.00E-01,1.35E+03,
9.50E-01,1.35E+03,
1.00E+00,1.34E+03,
1.25E+00,1.30E+03,
1.50E+00,1.23E+03,
1.75E+00,1.16E+03,
2.00E+00,1.10E+03,
2.25E+00,1.04E+03,
2.50E+00,9.82E+02,
2.75E+00,9.34E+02,
3.00E+00,8.89E+02,
3.50E+00,8.13E+02,
4.00E+00,7.49E+02,
4.50E+00,6.96E+02,
5.00E+00,6.51E+02,
5.50E+00,6.12E+02,
6.00E+00,5.77E+02,
6.50E+00,5.47E+02,
7.00E+00,5.20E+02,
7.50E+00,4.96E+02,
8.00E+00,4.75E+02,
8.50E+00,4.55E+02,
9.00E+00,4.37E+02,
9.50E+00,4.21E+02,
1.00E+01,4.06E+02,
1.25E+01,3.46E+02,
1.50E+01,3.03E+02,
1.75E+01,2.70E+02,
2.00E+01,2.45E+02,
2.50E+01,2.07E+02,
2.75E+01,1.93E+02,
3.00E+01,1.80E+02,
3.50E+01,1.60E+02,
4.00E+01,1.44E+02,
4.50E+01,1.32E+02,
5.00E+01,1.21E+02,
5.50E+01,1.12E+02,
6.00E+01,1.05E+02,
6.50E+01,9.85E+01,
7.00E+01,9.29E+01,
7.50E+01,8.79E+01,
8.00E+01,8.35E+01,
8.50E+01,7.96E+01,
9.00E+01,7.61E+01,
9.50E+01,7.29E+01,
1.00E+02,7.00E+01,
1.25E+02,5.86E+01,
1.50E+02,5.07E+01,
1.75E+02,4.49E+01,
2.00E+02,4.05E+01,
2.25E+02,3.69E+01,
2.50E+02,3.41E+01,
2.75E+02,3.17E+01,
3.00E+02,2.96E+01,
3.50E+02,2.64E+01,
4.00E+02,2.39E+01,
4.50E+02,2.19E+01,
5.00E+02,2.04E+01,
5.50E+02,1.90E+01,
6.00E+02,1.79E+01,
6.50E+02,1.70E+01,
7.00E+02,1.62E+01,
7.50E+02,1.55E+01,
8.00E+02,1.48E+01,
8.50E+02,1.43E+01,
9.00E+02,1.38E+01,
9.50E+02,1.33E+01,
1.00E+03,1.29E+01,
