energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
0.001,355,
0.0015,363,
0.002,370,
0.0025,377,
0.003,385,
0.004,400,
0.005,416,
0.006,432,
0.007,448,
0.008,463,
0.009,478,
0.01,493,
0.0125,529,
0.015,563,
0.0175,595,
0.02,626,
0.0225,656,
0.025,685,
0.0275,712,
0.03,739,
0.035,789,
0.04,837,
0.045,882,
0.05,925,
0.055,967,
0.06,1010,
0.065,1040,
0.07,1080,
0.075,1120,
0.08,1150,
0.085,1180,
0.09,1220,
0.095,1250,
0.1,1280,
0.125,1420,
0.15,1550,
0.175,1660,
0.2,1770,
0.225,1870,
0.25,1950,
0.275,2030,
0.3,2100,
0.35,2220,
0.4,2320,
0.45,2380,
0.5,2430,
0.55,2450,
0.6,2460,
0.65,2460,
0.7,2450,
0.75,2440,
0.8,2430,
0.85,2410,
0.9,2400,
0.95,2370,
1,2350,
1.25,2170,
1.5,1970,
1.75,1800,
2,1660,
2.25,1540,
2.5,1440,
2.75,1350,
3,1280,
3.5,1150,
4,1050,
4.5,967,
5,897,
5.5,838,
6,788,
6.5,743,
7,704,
7.5,669,
8,638,
8.5,610,
9,585,
9.5,562,
10,540,
12.5,456,
15,397,
17.5,352,
20,318,
25,267,
27.5,247,
30,231,
35,204,
40,183,
45,167,
50,153,
55,142,
60,132,
65,124,
70,116,
75,110,
80,104,
85,99.4,
90,94.9,
95,90.8,
100,87.1,
125,72.7,
150,62.7,
175,55.4,
200,49.8,
225,45.4,
250,41.8,
275,38.8,
300,36.3,
350,32.3,
400,29.2,
450,26.8,
500,24.8,
550,23.2,
600,21.8,
650,20.6,
700,19.6,
750,18.8,
800,18,
850,17.3,
900,16.7,
950,16.2,
1000,15.7,
