energy,stop_power,source: https://physics.nist.gov/cgi-bin/Star/edata.pl
1.00E-02,1.76E+01,
1.25E-02,1.49E+01,
1.50E-02,1.30E+01,
1.75E-02,1.15E+01,
2.00E-02,1.04E+01,
2.50E-02,8.79E+00,
3.00E-02,7.67E+00,
3.50E-02,6.84E+00,
4.00E-02,6.20E+00,
4.50E-02,5.69E+00,
5.00E-02,5.28E+00,
5.50E-02,4.93E+00,
6.00E-02,4.64E+00,
7.00E-02,4.17E+00,
8.00E-02,3.82E+00,
9.00E-02,3.54E+00,
1.00E-01,3.31E+00,
1.25E-01,2.90E+00,
1.50E-01,2.61E+00,
1.75E-01,2.41E+00,
2.00E-01,2.26E+00,
2.50E-01,2.05E+00,
3.00E-01,1.91E+00,
3.50E-01,1.82E+00,
4.00E-01,1.75E+00,
4.50E-01,1.70E+00,
5.00E-01,1.66E+00,
5.50E-01,1.63E+00,
6.00E-01,1.61E+00,
7.00E-01,1.58E+00,
8.00E-01,1.56E+00,
9.00E-01,1.55E+00,
1.00E+00,1.54E+00,
1.25E+00,1.54E+00,
1.50E+00,1.55E+00,
1.75E+00,1.57E+00,
2.00E+00,1.58E+00,
2.50E+00,1.62E+00,
3.00E+00,1.66E+00,
3.50E+00,1.69E+00,
4.00E+00,1.72E+00,
4.50E+00,1.76E+00,
5.00E+00,1.79E+00,
5.50E+00,1.82E+00,
6.00E+00,1.84E+00,
7.00E+00,1.90E+00,
8.00E+00,1.95E+00,
9.00E+00,1.99E+00,
1.00E+01,2.04E+00,
1.25E+01,2.15E+00,
1.50E+01,2.25E+00,
1.75E+01,2.35E+00,
2.00E+01,2.44E+00,
2.50E+01,2.62E+00,
3.00E+01,2.79E+00,
3.50E+01,2.96E+00,
4.00E+01,3.12E+00,
4.50E+01,3.28E+00,
5.00E+01,3.44E+00,
5.50E+01,3.60E+00,
6.00E+01,3.75E+00,
7.00E+01,4.05E+00,
8.00E+01,4.36E+00,
9.00E+01,4.66E+00,
1.00E+02,4.95E+00,
1.25E+02,5.70E+00,
1.50E+02,6.45E+00,
1.75E+02,7.19E+00,
2.00E+02,7.94E+00,
2.50E+02,9.43E+00,
3.00E+02,1.09E+01,
3.50E+02,1.24E+01,
4.00E+02,1.39E+01,
4.50E+02,1.54E+01,
5.00E+02,1.69E+01,
5.50E+02,1.84E+01,
6.00E+02,1.99E+01,
7.00E+02,2.29E+01,
8.00E+02,2.59E+01,
9.00E+02,2.89E+01,
1.00E+03,3.19E+01,
